,BILL_AMT3,EDUCATION,PAY_AMT6,BILL_AMT6,PAY_AMT3,AGE,BILL_AMT5,PAY_0,BILL_AMT4,PAY_3,PAY_AMT1,BILL_AMT2,PAY_AMT4,PAY_2,MARRIAGE,LIMIT_BAL,PAY_5,PAY_AMT2,PAY_6,PAY_AMT5,PAY_4,SEX,BILL_AMT1,ks,ks_validation1,c
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011937766417144369
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014251026703029977
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08307959103297392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5576000000000001,0.5576000000000001,0.00017012542798525892
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20245864366395358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5576000000000001,0.5576000000000001,0.0002030917620904735
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30592596402545263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5576000000000001,0.5576000000000001,0.00024244620170823283
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3966328887527537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5576000000000001,0.5576000000000001,0.0002894266124716752
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4767154084612624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5576000000000001,0.5576000000000001,0.0003455107294592218
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5472905942039196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5576000000000001,0.5576000000000001,0.0004124626382901352
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6084107779186935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5576000000000001,0.5576000000000001,0.0004923882631706741
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641746180670821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5576000000000001,0.5576000000000001,0.0005878016072274912
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999047881480316,0.0,0.013032023802813845,0.0,0.0,0.0,0.008785341110595828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5576000000000001,0.5576000000000001,0.000701703828670383
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7114302281264219,0.0,0.06997942828744609,0.0,0.0,0.0,0.0329150880625772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5576000000000001,0.5576000000000001,0.0008376776400682924
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7226837634749842,0.0,0.1141627532698946,0.0,0.0,0.0,0.046154436253317166,0.0,0.0,0.0,0.0,0.0,0.0,0.027311952538911707,0.0,0.0,0.5576000000000001,0.5576000000000001,0.001
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7291428547778327,0.0,0.1345304087288968,0.0,0.0,0.0,0.058482249760874724,0.0,0.0,0.03212930296697144,0.0,0.0,0.0,0.05490057926133955,0.0,0.0,0.5576000000000001,0.5576000000000001,0.001193776641714437
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7313391047553939,0.0,0.14097440225207636,0.0,0.0,0.0,0.07095761476058188,0.0,0.06441120001769417,0.06193945560699836,0.0,0.0,0.0,0.07590469291051889,0.0,0.0,0.5576000000000001,0.5576000000000001,0.0014251026703029992
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7343847700906221,0.0,0.161739982268874,0.04290895256733425,0.0,0.0,0.05068612916326753,0.0,0.12911656408283395,0.09861110186208691,0.04725083555370762,0.001136436275324532,0.0,0.08193796345255218,0.0,0.0,0.5576000000000001,0.5576000000000001,0.0017012542798525892
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7300959230171222,0.0,0.1372638463915612,0.07208443665842804,0.0,0.0,0.06434086629272895,0.0,0.17744306839757584,0.08969781636141759,0.11632347954569296,0.03074877756941757,0.0,0.12417154417489518,0.0,0.0,0.5576000000000001,0.5576000000000001,0.002030917620904735
18,0.0,0.0,0.0,0.0,0.05294164758074435,0.0,0.0,0.7284312224491986,0.0,0.14192747897082175,0.09021723468769123,0.0,0.0,0.06665164299636003,0.0,0.21651182732057178,0.11206694820801559,0.15104181828406973,0.06061308525629891,0.0,0.11871405869940063,0.0,0.0,0.5576000000000001,0.5576000000000001,0.0024244620170823282
19,0.0,0.0,0.0,0.0,0.09349963460244981,0.0,0.0,0.7340924908907339,0.0,0.1775180461893826,0.14770749036470718,0.0,0.0,0.03781848857470283,0.0,0.24819704757690345,0.12032557307863566,0.1421196002949873,0.09001078945687409,0.0,0.10958925354173378,0.0,0.0,0.5576000000000001,0.5576000000000001,0.0028942661247167516
20,0.0,0.0,0.0,0.0,0.13126110366050248,0.0,0.0,0.731628009067831,0.0,0.1405487462149433,0.12582056761966948,0.0,0.0,0.06428603953155765,0.0,0.2795536750939188,0.14265424761900228,0.1938625743168619,0.0955076053953351,0.0,0.12083790892437966,0.0,0.0,0.5576000000000001,0.5576000000000001,0.003455107294592218
21,0.0,0.0,0.0,0.0,0.17130831522232842,0.0,0.0,0.735531642441787,0.0,0.18426770616968202,0.17395937346986545,0.0,0.0007332239904609215,0.038902882358407886,0.0,0.30035550190613947,0.14817648069855732,0.1723765427913157,0.11956656884445398,0.0,0.09703148476806368,0.0,0.0,0.5576000000000001,0.5576000000000001,0.004124626382901352
22,0.0,0.0,0.0,0.0,0.18415533870647785,0.0,0.0,0.7348219460892212,0.0,0.17867003731571526,0.18043762628006033,0.0,0.0313197116758436,0.044556883864952254,0.0,0.32106888523600957,0.14154690964385458,0.1874934702008848,0.1402009229269733,0.0,0.11061592192932403,0.0,0.0,0.5576000000000001,0.5576000000000001,0.004923882631706742
23,0.0,0.0,0.004731181039178603,0.0,0.19233367104443236,0.0,0.0,0.7349262886518838,0.0,0.17143137973320452,0.18445645456881515,0.0,0.050505475391534375,0.046673593231092415,0.0,0.33824643343548666,0.14569996278887812,0.21005521629947885,0.15081796427849486,0.0,0.12103506179711576,0.0,0.0,0.5576000000000001,0.5576000000000001,0.0058780160722749115
24,0.0,0.0,0.02122904983331732,0.0,0.19544738016573118,0.0,0.0,0.7368263387538463,0.0,0.17516843064178625,0.19516575264245317,0.0,0.07704187285204138,0.04431288811492625,0.0,0.3494237514855103,0.13703556902018948,0.21391199052340898,0.1632509714632402,0.0,0.1327758847938603,0.0,0.0,0.5576000000000001,0.5576000000000001,0.00701703828670383
25,0.0,0.0,0.037103027795444006,0.0,0.20828591463967816,0.0,0.0,0.7360011610092358,0.0,0.1789473819838355,0.19797479522767553,0.0,0.09293062828646134,0.04378246861608693,0.0,0.3593305868654733,0.1365495855681046,0.21401369671572226,0.18060608527903865,0.0,0.12687487270524436,0.0,0.0,0.5576000000000001,0.5576000000000001,0.008376776400682925
26,0.0,0.0,0.05722649107651107,0.0,0.22756972673885928,0.0,0.0,0.7335002513029243,0.0,0.1639920834252651,0.17970837010554203,0.0,0.08575739149337337,0.05798358480159605,0.0,0.3662019963607422,0.15844974164200884,0.2322086104033037,0.1800341557515847,0.004067548433838854,0.12792872802214791,0.0,0.0,0.5576000000000001,0.5576000000000001,0.01
27,0.0,0.0,0.06457217880328567,0.0,0.21487740511763956,0.0,0.0,0.7370649514658659,0.0,0.18867061189586046,0.21312052553710328,0.0,0.12118289116590909,0.040694634746906974,0.0,0.3732224909673197,0.13359844356506112,0.2089415706271579,0.19346993489617767,0.010054011105783295,0.13464711401482996,0.0,0.0,0.5576000000000001,0.5576000000000001,0.01193776641714437
28,0.0,0.0,0.07878997815647233,0.0,0.237017890585538,0.0,0.0,0.7339212487622513,0.0,0.1712030430432291,0.19060036793708535,0.0,0.08960867842301176,0.06157275007344891,0.0,0.37652816632088576,0.17094360265944672,0.23478870891732018,0.1807026839398079,0.03228683113015174,0.12631139648747744,0.0,0.0,0.5576000000000001,0.5576000000000001,0.014251026703029992
29,0.0,0.0,0.08280775218162198,0.0,0.23454027328512492,0.0,0.0,0.7362360146015247,0.0,0.17341294098945265,0.18714646858787323,0.0,0.09617926553685047,0.059380622428598505,0.0,0.38117299201633004,0.17395194528994354,0.23785496800595157,0.18005248090247833,0.0438627367802944,0.1304163442123757,0.0,0.0,0.5576000000000001,0.5576000000000001,0.017012542798525893
30,0.0,0.0,0.08596390457154199,0.0,0.24504771289156693,0.0,0.0,0.7341554171152773,0.0,0.1756516810932461,0.19379629591111014,0.0,0.10401611097865923,0.05877030624064453,0.0,0.3855517998331655,0.1699331445355013,0.23398917529199745,0.19298025279748937,0.04003090879626741,0.12390019134176582,0.0,0.0,0.5576000000000001,0.5576000000000001,0.020309176209047368
31,0.0,0.0,0.08852535142272391,0.0,0.2409248525881487,0.0,0.0,0.7358047620257018,0.0,0.17233111492484848,0.1936982920730099,0.0,0.11090882639503424,0.0620440056815864,0.044441678807362224,0.3917297696743833,0.16573467588126958,0.2371872696500759,0.19418319545921728,0.041032388733853765,0.13437212437100932,0.0,0.0,0.5576000000000001,0.5576000000000001,0.024244620170823284
32,-0.03639849616868416,0.014577368063862159,0.0930232104461973,0.0,0.2332512224994698,0.0,0.0,0.7348208800817627,0.0,0.17051130525898023,0.19793235448030003,0.0,0.12397250646885227,0.06342581629898181,0.2330453521204268,0.3974302404559177,0.15806250763456187,0.24321209677096792,0.20380500478675545,0.049186897536289416,0.14563504559306642,0.08514504133621917,0.0,0.5576000000000001,0.5576000000000001,0.028942661247167517
33,-0.10881410137357073,0.04144503023163328,0.10061256786941375,0.0,0.2348757649043268,0.0,0.0,0.7372941783969973,0.0,0.1770692605217085,0.20551551529326692,0.0,0.13746442422156804,0.05558828538815417,0.3828453462319387,0.40023337342504084,0.15072866613821378,0.24271603347237974,0.2093002772787802,0.047037821927390755,0.14493086388596196,0.19384739374763377,0.0,0.5576000000000001,0.5576000000000001,0.03455107294592222
34,-0.17488842973558602,0.0676806045537961,0.10213332365865418,0.0,0.26050242234603155,0.0,0.0,0.7426662279510775,0.0,0.2087421400093149,0.22933876317115146,0.0,0.11315801988336151,0.03311227533754316,0.5088813924524445,0.4067963160954414,0.18531304862624248,0.21581719429230395,0.19904302242656396,0.05586101513602753,0.10340618902280728,0.28599342048549775,0.0,0.5576000000000001,0.5576000000000001,0.04124626382901352
35,-0.23602636083258105,0.0813269711911726,0.10308555679914508,0.0,0.24135589439785995,0.0,0.024842678957179235,0.7379887585902907,0.0,0.16835099862287137,0.21143538719679017,0.0,0.13377930692052376,0.05698290414633929,0.617591325627512,0.4078210388396762,0.1578582901141922,0.2550163425452311,0.20900810964856437,0.05484038258880467,0.14961499065969358,0.3584892731878613,0.0,0.5576000000000001,0.5576000000000001,0.04923882631706741
36,-0.29537889617006646,0.09650058019412959,0.10520658402598505,0.0,0.2531612323103686,0.0,0.055926405297309356,0.7414029746537238,0.0,0.19389870798119516,0.2265105982991435,0.0,0.12446193754896581,0.04037977745094283,0.7075591052770781,0.4105709651852199,0.17377847231502072,0.23666859367356183,0.20410341872563892,0.062083249107051805,0.1254854359996445,0.4227123721150236,0.0,0.5576000000000001,0.5576000000000001,0.05878016072274912
37,-0.33998251836903925,0.10809018961239049,0.10767955532846395,0.0,0.26444336097371235,0.0,0.07851444213555801,0.7396116690898541,0.017121646230574324,0.1916286920614161,0.22372999297537702,0.0,0.10652171592011352,0.0438845368213678,0.784118112662152,0.41071871226686846,0.1945855027538308,0.2399831126553691,0.19848177920873214,0.0718476929032994,0.1142305228460335,0.47172139850841777,0.0,0.5576000000000001,0.5576000000000001,0.07017038286703829
38,-0.39394618888688715,0.11487071587206053,0.11389316818175188,0.0,0.25016540130636783,0.03893529116935201,0.09433418701773472,0.7394778492568814,0.04218014508867888,0.19543676666594215,0.24240964670607096,0.0,0.10488498539223375,0.037408813395631194,0.8421574549929769,0.4116014252473426,0.19922551561922233,0.24616677578513627,0.19044762241868202,0.07604987016375611,0.12321644079288493,0.5184743595959141,-0.03127816267023595,0.5576000000000001,0.5576000000000001,0.08376776400682924
39,-0.4421339068468899,0.12476091996579515,0.11216496192947652,0.0,0.26342014330312163,0.07907522751605456,0.11749013882633899,0.7414755108992265,0.06111081027808358,0.19536306431967024,0.23517680335364555,0.0,0.11293522476912948,0.03757899417232673,0.8927091606719121,0.4138936691652223,0.18624293165560743,0.24371773592085957,0.20496031449619043,0.06624388360324286,0.11682976092244243,0.5546298589977515,0.0,0.5576000000000001,0.5576000000000001,0.1
